year,month,paymentType,NoOfDisputes
2010,7,DIS,91
2010,1,DIS,115
2010,3,DIS,8142
2010,9,DIS,958
2010,4,DIS,200
2010,2,DIS,3
2010,6,DIS,101
2010,8,DIS,5320
2010,5,DIS,112
2012,4,DIS,10981
2012,12,DIS,10302
2012,10,DIS,9715
2012,5,DIS,10749
2012,11,DIS,9568
2012,7,DIS,9887
2012,9,DIS,10534
2012,8,DIS,9669
2012,6,DIS,12167
2012,1,DIS,382
2012,3,DIS,4487
2013,5,DIS,10842
2013,1,DIS,11244
2013,7,DIS,10164
2013,10,DIS,10527
2013,8,DIS,10257
2013,11,DIS,10140
2013,2,DIS,9762
2013,4,DIS,11534
2013,9,DIS,10346
2013,6,DIS,10284
2013,12,DIS,10041
2013,3,DIS,12077
2014,1,DIS,185
