hour,TipsAmount
12,3.2850162991729346
22,2.586471673734058
1,2.4091396723376652
13,2.741413899199159
16,2.2386681793186725
6,2.4391121737412242
3,2.279418641048381
20,2.4209339730406016
5,2.3988740028611066
19,2.3619233885265674
15,2.2481562955290206
17,2.2795096918698015
9,2.3539835802239657
4,2.3340067476332615
8,2.4174366496406154
23,2.667568507526906
7,2.458366108793059
10,2.3766336658927716
21,2.5027090263836733
11,2.691425274906496
14,2.347341015752944
2,2.300665953353031
0,2.5769836691543087
18,2.3479598578084895
